,Words,Frequency
0,reels,40
1,instadaily,40
2,reelsinsta,40
3,reelsofinstagram,40
4,travel,40
5,reel,40
6,viralreels,40
7,photography,40
8,love,40
9,instagramreels,40
10,reelsviral,40
11,instagram,50
12,influencer,45
13,explore,40
14,trendinginstagood,40
15,trend,45
16,reelsvideo,40
17,video,45
18,viral,40
19,instareels,40
20,instagramvideo,40
21,instavideo,35
22,reelsinstagram,45
23,tiktok,40
24,memes,40
25,followforfollowback,30
26,reelkarofeelkaro,5
27,momos,5
28,tastyfoodrecipies,5
29,FOODIESOFINSTAGRAM,5
30,cookwithme,5
31,foodbloggers,5
32,foodphotographer,5
33,foodphotography,5
34,followｍe,5
35,hashtags,5
36,hashtag,10
37,foodstagram,5
38,youtube,10
39,foodstylist,5
40,eatingfortheinsta,5
41,easytomake,5
42,foodlover,5
43,foodie,5
44,likeit,5
45,delhiblogger,5
46,bloggersofinstagram,5
47,insta,5
48,igtv,5
49,igtvfollow,5
50,instagood,5
51,explorepage,5
52,blogger,5
53,follow4followback,5
54,trending,5
55,instagramers,5
56,comment,5
57,monday,5
58,share,5
59,foryou,5
60,fyp,5
61,youtuber,5
62,facebook,5
63,tv,5
64,instalife,5
65,socialmedia,5
66,instagrammers,5
67,foryoupage,5
68,famous,5
69,entertainment,5
70,videos,5
71,viralvideos,5
